,,,,,
,ID,Shop,Category,Secondary,Comments
,1001,OmniKnight,Badge Shop,,
,1002,Artifact Merge,Merge Shop,,
,1003,Blood Of Cerberus,Rare Shop,,
,1004,Vampire War Merge,Merge Shop,,
,1005,Dage's DeathRider,Rare Shop,,
,1006,Mirror Realm Rares,Rare Shop,,
,1007,House of Usher Shop,Seasonal Shop,,
,1008,Cask of Amoglinado Shop,Seasonal Shop,,
,1009,The Wyvern Shop,Seasonal Shop,,
,1010,Starship Paladin Shop,Normal Shop,,
,1011,DeathRider Key,Item Shop,,Requires 26308
,1012,Parked DeathRider,House Shop,,
,1013,Dark DragonMaster,Badge Shop,,
,1014,Package Preview,Preview Shop,,
,1015,5 Years Loyalty House Shop,Badge Shop,House Shop,
,1016,Legion T-Shirt,Promo Shop,,
,1017,Paladin T-Shirt,Promo Shop,,
,1018,Legion Paladin,Promo Shop,,
,1019,2015 Calendar,Promo Shop,,
,1020,BrightFall commander,Badge Shop,,
,1021,Daily Treasure Shop,Staff Shop,,
,1022,Draconic DmK Tier 1,Badge Shop,,
,1023,Draconic DmK Tier 2,Badge Shop,,
,1024,Draconic DmK Tier 3,Badge Shop,,
,1025,Extinction Games Merge,Merge Shop,,
,1026,Featured Artist LQS Nulgath (Legend),Badge Shop,,LQS
,1027,J6 Birthday,Rare Shop,,
,1028,J6 Birthday Merge,Rare Shop,Merge Shop,
,1029,2k AC Preview,Preview Shop,,
,1030,5k AC Preview,Preview Shop,,
,1031,12k AC Preview,Preview Shop,,
,1032,Ultra OmniKnight Blade,Staff Shop,,
,1033,Sheng Long Guardian,Badge Shop,,
,1034,Sheng Chi Guardian,Badge Shop,,
,1035,Dage's Underworld House,Badge Shop,House Shop,
,1036,Dragon's Altar House,Badge Shop,House Shop,
,1037,Draconis Pets,Badge Shop,,
,1038,AQ:Dragons Founder,Badge Shop,,
,1039,Ectocave Merge,Merge Shop,,
,1040,Fallenfire Raffle,Rare Shop,,
,1041,Featured Artist LQS Dage,Badge Shop,,
,1042,Legion Recruit Merge Shop,Promo Shop,Merge Shop,
,1043,Countdown to Black Friday,Rare Shop,,
,1044,FallenFire Token Shop,Rare Shop,,
,1045,Evolved Legion Vampire,Item Shop,Merge Shop,Requires 27039
